AIY_adv	TUY_adv	HeadwayFoll_adv	GapFoll_adv	AIY_stop	TUY_stop	HeadwayFoll_stop	GapFoll_stop	travel_time	adv_indication	decision	car_follow	occ_ratio
149.6	0.4	2.7	2.4	5.5	144.5	4.0	3.1	5.9	1.0	0.0	0.0	215.5
146.6	3.4	1.5	1.2	0.1	149.9	1.4	0.6	3.5	1.0	1.0	1.0	2.3333
149.8	0.2	3.2	2.9	5.2	144.8	5.1	4.4	5.4	1.0	0.0	0.0	244.5
148.4	1.6	5.3	5.0	2.0	148.0	5.1	4.4	3.6	1.0	1.0	0.0	2.3333
2.6	147.4	4.2	3.9	8.7	141.3	6.7	6.0	6.1	0.0	0.0	0.0	293.3333
145.9	4.1	4.0	3.7	0.3	149.7	4.3	3.4	4.4	1.0	1.0	0.0	4.5
146.2	3.8	2.7	2.1	1.2	148.8	2.7	1.6	5.0	1.0	1.0	0.0	1.8
0.7	149.3	6.0	5.7	5.5	144.5	6.9	6.1	4.8	0.0	0.0	0.0	237.0
0.2	149.8	16.3	16.0	5.3	144.7	16.6	15.7	5.1	0.0	0.0	0.0	224.6667
149.0	1.0	15.1	14.9	3.6	146.4	19.7	18.7	4.6	1.0	0.0	0.0	102.0
3.6	146.4	20.0	19.7	10.6	139.4	22.8	21.9	7.0	0.0	0.0	0.0	164.75
2.4	147.6	52.2	51.5	11.1	138.9	54.3	51.6	8.7	0.0	0.0	0.0	133.4
149.6	0.4	16.7	16.0	6.0	144.0	18.7	17.9	6.4	1.0	0.0	0.0	60.5
148.8	1.2	8.7	8.4	2.6	147.4	7.2	6.1	3.8	1.0	1.0	0.0	2.6667
149.9	0.1	13.2	12.9	5.6	144.4	14.8	14.0	5.7	1.0	0.0	0.0	317.6667
149.7	0.3	17.6	17.0	3.2	146.8	15.3	14.2	3.5	1.0	1.0	0.0	3.5
0.9	149.1	5.0	4.8	5.9	144.1	6.3	5.5	5.0	0.0	0.0	0.0	432.0
147.1	2.9	3.5	3.2	1.0	149.0	3.4	2.5	3.9	1.0	1.0	0.0	3.5
149.1	0.9	2.0	1.8	3.1	146.9	2.1	1.4	4.0	1.0	1.0	0.0	4.0
2.4	147.6	3.3	3.1	9.8	140.2	6.7	5.9	7.4	0.0	0.0	0.0	275.6667
3.2	146.8	8.5	8.1	11.0	139.0	12.5	11.8	7.8	0.0	0.0	0.0	207.75
146.3	3.7	3.3	3.2	1.2	148.8	2.2	1.2	4.9	1.0	1.0	0.0	3.3333
147.2	2.8	8.3	8.0	2.0	148.0	8.8	7.9	4.8	1.0	1.0	0.0	2.0
148.9	1.1	1.7	1.3	4.6	145.4	2.6	1.8	5.7	1.0	0.0	1.0	316.6667
148.3	1.7	6.3	5.9	2.8	147.2	6.4	5.6	4.5	1.0	1.0	0.0	1.1429
1.2	148.8	2.9	2.2	8.6	141.4	5.8	5.0	7.4	0.0	0.0	0.0	100.3333
147.9	2.1	11.4	11.1	2.4	147.6	11.1	10.2	4.5	1.0	1.0	0.0	2.25
