AIY_adv	TUY_adv	OccTime_adv	HeadwayFoll_adv	GapFoll_adv	AIY_stop	TUY_stop	OccTime_stop	HeadwayFoll_stop	GapFoll_stop	travel_time	adv_indication	decision	car_follow	occ_ratio	month	day	hour
90.7	4.3	0.3	10.2	9.9	94.7	0.3	0.8	8.9	7.9	4.0	1.0	1.0	0.0	2.6667	01	01	17
104.8	0.2	0.5	42.3	41.8	6.0	94.0	65.5	35.5	34.1	6.2	1.0	0.0	0.0	131.0	01	01	17
99.4	0.6	0.4	69.4	68.9	4.6	95.4	66.6	98.6	33.1	5.2	1.0	0.0	0.0	166.5	01	01	17
96.0	4.0	0.4	5.9	5.3	0.6	94.4	0.8	4.0	3.0	4.6	1.0	1.0	0.0	2.0	01	01	17
103.1	1.9	0.4	38.3	37.8	6.3	88.7	67.1	53.6	33.2	8.2	1.0	0.0	0.0	167.75	01	01	17
96.5	3.5	0.3	21.9	21.6	0.6	104.4	0.8	21.9	21.1	4.1	1.0	1.0	0.0	2.6667	01	01	17
97.0	3.0	0.4	23.5	23.0	1.0	99.0	0.8	21.2	19.5	4.0	1.0	1.0	0.0	2.0	01	01	18
95.4	4.6	0.4	3.3	3.0	0.7	99.3	1.0	8.2	6.5	5.3	1.0	1.0	0.0	2.5	01	01	18
0.9	99.1	0.4	8.8	8.5	8.3	91.7	68.9	11.2	10.2	7.4	0.0	0.0	0.0	172.25	01	01	18
95.0	5.0	0.3	7.9	7.6	99.3	0.7	0.8	7.7	6.9	4.3	1.0	1.0	0.0	2.6667	01	01	18
97.7	2.3	0.3	17.0	16.6	2.8	97.2	2.1	16.5	15.4	5.1	1.0	1.0	0.0	7.0	01	01	18
97.6	2.4	0.4	2.6	2.3	4.7	95.3	70.7	5.4	4.6	7.1	1.0	0.0	0.0	176.75	01	01	18
1.2	98.8	0.4	3.5	3.2	10.3	89.7	67.9	7.5	5.4	9.1	0.0	0.0	0.0	169.75	01	01	18
96.5	3.5	0.4	9.6	9.3	1.4	98.6	0.9	9.4	8.4	4.9	1.0	1.0	0.0	2.25	01	01	18
2.2	97.8	0.6	21.9	20.1	10.1	89.9	51.7	23.5	22.4	7.9	0.0	0.0	0.0	86.1667	01	01	18
94.9	5.1	0.4	73.3	72.8	0.0	100.0	1.0	76.1	38.8	5.1	1.0	1.0	0.0	2.5	01	01	18
99.9	0.1	0.3	23.7	23.4	7.8	92.2	68.1	39.2	38.0	7.9	1.0	0.0	0.0	227.0	01	01	18
